,H_Temperature,L_Temperature,Month,DayOfWeek,isWeekend,isholiday,isspringfestival,PriorDay,Prior2Day,PriorWeek,Load
0,8,-4,1,4,0,1,0,4020591,4170536,4294518,2900575
1,13,0,1,5,0,1,0,2900575,4020591,3874950,3158211
2,16,3,1,6,1,1,0,3158211,2900575,3905750,3596487
3,15,4,1,7,1,0,0,3596487,3158211,4105261,3939672
4,10,2,1,1,0,0,0,3939672,3596487,4255276,4101790
5,7,-1,1,2,0,0,0,4101790,3939672,4170536,4149164
6,7,-2,1,3,0,0,0,4149164,4101790,4020591,4161928
7,12,-1,1,4,0,0,0,4161928,4149164,2900575,4182622
8,14,1,1,5,0,0,0,4182622,4161928,3158211,4153509
9,14,1,1,6,1,0,0,4153509,4182622,3596487,3913704
10,10,1,1,7,1,0,0,3913704,4153509,3939672,3635468
11,8,3,1,1,0,0,0,3635468,3913704,4101790,4011329
12,8,4,1,2,0,0,0,4011329,3635468,4149164,3969860
13,10,4,1,3,0,0,0,3969860,4011329,4161928,4225259
14,11,3,1,4,0,0,0,4225259,3969860,4182622,4106437
15,7,-1,1,5,0,0,0,4106437,4225259,4153509,4074699
16,9,-1,1,6,1,0,0,4074699,4106437,3913704,4053950
17,11,0,1,7,1,0,0,4053950,4074699,3635468,3827153
18,10,2,1,1,0,0,0,3827153,4053950,4011329,4099085
19,11,4,1,2,0,0,0,4099085,3827153,3969860,4166022
20,7,0,1,3,0,0,0,4166022,4099085,4225259,4091559
21,11,-2,1,4,0,0,0,4091559,4166022,4106437,4197553
22,15,2,1,5,0,0,0,4197553,4091559,4074699,4153027
23,11,7,1,6,1,0,0,4153027,4197553,4053950,3841539
24,10,6,1,7,1,0,0,3841539,4153027,3827153,3658452
25,6,2,1,1,0,0,0,3658452,3841539,4099085,3969836
26,3,0,1,2,0,0,0,3969836,3658452,4166022,4250943
27,2,-1,1,3,0,0,0,4250943,3969836,4091559,4146675
28,3,-1,1,4,0,0,0,4146675,4250943,4197553,4155199
29,4,-2,1,5,0,0,0,4155199,4146675,4153027,4015565
30,5,-1,1,6,1,0,0,4015565,4155199,3841539,3895604
31,7,1,2,7,1,0,0,3895604,4015565,3658452,3678729
32,7,2,2,1,0,0,0,3678729,3895604,3969836,3983918
33,7,2,2,2,0,0,0,3983918,3678729,4250943,3962811
34,7,-2,2,3,0,0,0,3962811,3983918,4146675,3904604
35,9,-2,2,4,0,0,0,3904604,3962811,4155199,3812319
36,12,-1,2,5,0,0,0,3812319,3904604,4015565,3808081
37,6,0,2,6,1,0,0,3808081,3812319,3895604,3503405
38,6,-4,2,7,1,0,0,3503405,3808081,3678729,3476838
39,15,0,2,1,0,0,0,3476838,3503405,3983918,3562045
40,15,0,2,2,0,0,1,3562045,3476838,3962811,3221193
41,15,0,2,3,0,0,1,3221193,3562045,3904604,2909801
42,15,0,2,4,0,0,1,2909801,3221193,3812319,2934951
43,19,3,2,5,0,0,1,2934951,2909801,3808081,2847925
44,15,10,2,6,1,0,1,2847925,2934951,3503405,2526925
45,15,9,2,7,1,0,1,2526925,2847925,3476838,2311930
46,14,3,2,1,0,0,1,2311930,2526925,3562045,2243961
47,12,3,2,2,0,0,1,2243961,2311930,3221193,2121020
48,11,1,2,3,0,0,1,2121020,2243961,2909801,1589939
49,10,4,2,4,0,0,1,1589939,2121020,2934951,1924576
50,11,8,2,5,0,0,1,1924576,1589939,2847925,1978058
51,11,3,2,6,1,0,1,1978058,1924576,2526925,2012807
52,10,4,2,7,1,0,1,2012807,1978058,2311930,2057638
53,12,4,2,1,0,0,1,2057638,2012807,2243961,2129969
54,10,6,2,2,0,0,1,2129969,2057638,2121020,2215586
55,10,6,2,3,0,0,1,2215586,2129969,1589939,2345116
56,6,3,2,4,0,0,1,2345116,2215586,1924576,2617715
57,4,2,2,5,0,0,1,2617715,2345116,1978058,2906772
58,9,1,2,6,1,0,1,2906772,2617715,2012807,1675678
59,13,2,3,7,1,0,1,1675678,2906772,2057638,2900464
60,12,6,3,1,0,0,0,2900464,1675678,2129969,3334082
61,6,1,3,2,0,0,0,3334082,2900464,2215586,3492606
62,5,1,3,3,0,0,0,3492606,3334082,2345116,3597890
63,8,2,3,4,0,1,0,3597890,3492606,2617715,1798044
64,12,3,3,5,0,1,0,1798044,3597890,2906772,1787992
65,10,5,3,6,1,0,0,1787992,1798044,1675678,3559113
66,9,4,3,7,1,0,0,3559113,1787992,2900464,2972454
67,7,0,3,1,0,0,0,2972454,3559113,3334082,3772564
68,11,-1,3,2,0,0,0,3772564,2972454,3492606,3868938
69,16,2,3,3,0,0,0,3868938,3772564,3597890,3881363
70,19,6,3,4,0,0,0,3881363,3868938,1798044,3935078
71,15,7,3,5,0,0,0,3935078,3881363,1787992,3845654
72,16,8,3,6,1,0,0,3845654,3935078,3559113,3941030
73,17,10,3,7,1,0,0,3941030,3845654,2972454,3710792
74,16,11,3,1,0,0,0,3710792,3941030,3772564,3736062
75,14,12,3,2,0,0,0,3736062,3710792,3868938,3862429
76,15,9,3,3,0,0,0,3862429,3736062,3881363,3809448
77,14,9,3,4,0,0,0,3809448,3862429,3935078,3294148
78,20,9,3,5,0,0,0,3294148,3809448,3845654,2659507
79,19,8,3,6,1,0,0,2659507,3294148,3941030,3097831
80,16,7,3,7,1,0,0,3097831,2659507,3710792,3153864
81,15,6,3,1,0,0,0,3153864,3097831,3736062,3793539
82,17,7,3,2,0,0,0,3793539,3153864,3862429,3886598
83,15,6,3,3,0,0,0,3886598,3793539,3809448,3946979
84,16,9,3,4,0,0,0,3946979,3886598,3294148,3978091
85,20,7,3,5,0,0,0,3978091,3946979,2659507,3505012
86,23,10,3,6,1,0,0,3505012,3978091,3097831,3641733
87,20,14,3,7,1,0,0,3641733,3505012,3153864,3489199
88,26,16,3,1,0,0,0,3489199,3641733,3793539,3792338
89,23,17,3,2,0,0,0,3792338,3489199,3886598,3799367
90,25,14,4,3,0,0,0,3799367,3792338,3946979,3878931
91,19,11,4,4,0,0,0,3878931,3799367,3978091,3895444
92,14,10,4,5,0,0,0,3895444,3878931,3505012,3917458
93,13,10,4,6,1,0,0,3917458,3895444,3641733,3701865
94,11,7,4,7,1,1,0,3701865,3917458,3489199,3077103
95,7,4,4,1,0,1,0,3077103,3701865,3792338,3396784
96,12,2,4,2,0,0,0,3396784,3077103,3799367,3955773
97,15,3,4,3,0,0,0,3955773,3396784,3878931,3933520
98,17,6,4,4,0,0,0,3933520,3955773,3895444,3934117
99,19,7,4,5,0,0,0,3934117,3933520,3917458,3841726
100,21,9,4,6,1,0,0,3841726,3934117,3701865,3757337
101,13,7,4,7,1,0,0,3757337,3841726,3077103,3471838
102,19,6,4,1,0,0,0,3471838,3757337,3396784,3794991
103,23,10,4,2,0,0,0,3794991,3471838,3955773,3886747
104,21,13,4,3,0,0,0,3886747,3794991,3933520,3883621
105,22,10,4,4,0,0,0,3883621,3886747,3934117,3858169
106,26,15,4,5,0,0,0,3858169,3883621,3841726,3720202
107,24,16,4,6,1,0,0,3720202,3858169,3757337,3618044
108,17,10,4,7,1,0,0,3618044,3720202,3471838,3593118
109,20,8,4,1,0,0,0,3593118,3618044,3794991,3694081
110,24,8,4,2,0,0,0,3694081,3593118,3886747,3785960
111,26,12,4,3,0,0,0,3785960,3694081,3883621,3822967
112,27,13,4,4,0,0,0,3822967,3785960,3858169,3907020
113,27,13,4,5,0,0,0,3907020,3822967,3720202,3854392
114,28,14,4,6,1,0,0,3854392,3907020,3618044,3801188
115,28,15,4,7,1,0,0,3801188,3854392,3593118,3606876
116,29,18,4,1,0,0,0,3606876,3801188,3694081,3827721
117,22,17,4,2,0,0,0,3827721,3606876,3785960,3922143
118,25,14,4,3,0,0,0,3922143,3827721,3822967,3903749
119,27,14,4,4,0,0,0,3903749,3922143,3907020,3807190
120,20,16,5,5,0,1,0,3807190,3903749,3854392,2893128
121,25,15,5,6,1,1,0,2893128,3807190,3801188,2988003
122,24,15,5,7,1,1,0,2988003,2893128,3606876,3501631
123,24,12,5,1,0,0,0,3501631,2988003,3827721,3785149
124,23,15,5,2,0,0,0,3785149,3501631,3922143,3908821
125,27,16,5,3,0,0,0,3908821,3785149,3903749,3920908
126,27,17,5,4,0,0,0,3920908,3908821,3807190,3900211
127,26,15,5,5,0,0,0,3900211,3920908,2893128,3893473
128,26,15,5,6,1,0,0,3893473,3900211,2988003,3756578
129,26,15,5,7,1,0,0,3756578,3893473,3501631,3488394
130,26,15,5,1,0,0,0,3488394,3756578,3785149,3768083
131,26,15,5,2,0,0,0,3768083,3488394,3908821,3833756
132,29,20,5,3,0,0,0,3833756,3768083,3920908,3944756
133,31,22,5,4,0,0,0,3944756,3833756,3900211,4113033
134,25,16,5,5,0,0,0,4113033,3944756,3893473,3925658
135,24,15,5,6,1,0,0,3925658,4113033,3756578,3753444
136,26,18,5,7,1,0,0,3753444,3925658,3488394,3545599
137,25,17,5,1,0,0,0,3545599,3753444,3768083,3747294
138,29,19,5,2,0,0,0,3747294,3545599,3833756,3901643
139,27,15,5,3,0,0,0,3901643,3747294,3944756,3878744
140,25,15,5,4,0,0,0,3878744,3901643,4113033,3834144
141,28,18,5,5,0,0,0,3834144,3878744,3925658,3873964
142,26,18,5,6,1,0,0,3873964,3834144,3753444,3857605
143,27,19,5,7,1,0,0,3857605,3873964,3545599,3658025
144,29,19,5,1,0,0,0,3658025,3857605,3747294,3894369
145,27,20,5,2,0,0,0,3894369,3658025,3901643,3932831
146,22,17,5,3,0,0,0,3932831,3894369,3878744,3943848
147,27,20,5,4,0,0,0,3943848,3932831,3834144,3980124
148,23,20,5,5,0,0,0,3980124,3943848,3873964,3919808
149,26,19,5,6,1,0,0,3919808,3980124,3857605,3660404
150,27,19,5,7,1,0,0,3660404,3919808,3658025,3409681
151,31,23,6,1,0,0,0,3409681,3660404,3894369,3678089
152,25,19,6,2,0,0,0,3678089,3409681,3932831,3766047
153,26,16,6,3,0,0,0,3766047,3678089,3943848,3715689
154,26,19,6,4,0,0,0,3715689,3766047,3980124,3717902
155,28,19,6,5,0,0,0,3717902,3715689,3919808,3712017
156,32,21,6,6,1,0,0,3712017,3717902,3660404,3748581
157,27,21,6,7,1,0,0,3748581,3712017,3409681,3505473
158,27,20,6,1,0,0,0,3505473,3748581,3678089,3804096
159,29,22,6,2,0,0,0,3804096,3505473,3766047,3931900
160,28,21,6,3,0,0,0,3931900,3804096,3715689,4026655
161,33,22,6,4,0,0,0,4026655,3931900,3717902,4029529
162,34,23,6,5,0,0,0,4029529,4026655,3712017,4045499
163,33,25,6,6,1,0,0,4045499,4029529,3748581,3981977
164,32,23,6,7,1,0,0,3981977,4045499,3505473,3786308
165,28,21,6,1,0,0,0,3786308,3981977,3804096,4025300
166,21,18,6,2,0,0,0,4025300,3786308,3931900,3880740
167,22,18,6,3,0,0,0,3880740,4025300,4026655,3732340
168,28,19,6,4,0,0,0,3732340,3880740,4029529,3780395
169,29,21,6,5,0,0,0,3780395,3732340,4045499,3900360
170,30,21,6,6,1,1,0,3900360,3780395,3981977,3292730
171,26,21,6,7,1,1,0,3292730,3900360,3786308,3416254
172,26,21,6,1,0,1,0,3416254,3292730,4025300,3724890
173,25,23,6,2,0,0,0,3724890,3416254,3880740,3752153
174,26,22,6,3,0,0,0,3752153,3724890,3732340,3883363
175,30,23,6,4,0,0,0,3883363,3752153,3780395,4029993
176,26,21,6,5,0,0,0,4029993,3883363,3900360,3961676
177,23,19,6,6,1,0,0,3961676,4029993,3292730,3732761
178,24,21,6,7,1,0,0,3732761,3961676,3416254,3459483
179,24,21,6,1,0,0,0,3459483,3732761,3724890,3775745
180,27,21,6,2,0,0,0,3775745,3459483,3752153,3911804
181,29,21,7,3,0,0,0,3911804,3775745,3883363,2693051
182,32,23,7,4,0,0,0,2693051,3911804,4029993,3642866
183,30,21,7,5,0,0,0,3642866,2693051,3961676,4044005
184,28,19,7,6,1,0,0,4044005,3642866,3732761,3826577
185,28,19,7,7,1,0,0,3826577,4044005,3459483,3552897
186,22,18,7,1,0,0,0,3552897,3826577,3775745,3797675
187,24,19,7,2,0,0,0,3797675,3552897,3911804,3198852
188,24,20,7,3,0,0,0,3198852,3797675,2693051,3812753
189,27,22,7,4,0,0,0,3812753,3198852,3642866,3959028
190,31,24,7,5,0,0,0,3959028,3812753,4044005,4067013
191,27,23,7,6,1,0,0,4067013,3959028,3826577,3851053
192,29,23,7,7,1,0,0,3851053,4067013,3552897,3511131
193,35,25,7,1,0,0,0,3511131,3851053,3797675,4034339
194,35,25,7,2,0,0,0,4034339,3511131,3198852,3550189
195,32,24,7,3,0,0,0,3550189,4034339,3812753,4018448
196,29,23,7,4,0,0,0,4018448,3550189,3959028,4248386
197,25,22,7,5,0,0,0,4248386,4018448,4067013,4095465
198,27,23,7,6,1,0,0,4095465,4248386,3851053,3950332
199,26,24,7,7,1,0,0,3950332,4095465,3511131,3765951
200,28,24,7,1,0,0,0,3765951,3950332,4034339,4112606
201,30,24,7,2,0,0,0,4112606,3765951,3550189,4276542
202,31,25,7,3,0,0,0,4276542,4112606,4018448,4102868
203,31,25,7,4,0,0,0,4102868,4276542,4248386,4145418
204,28,24,7,5,0,0,0,4145418,4102868,4095465,4212612
205,29,25,7,6,1,0,0,4212612,4145418,3950332,4039046
206,32,26,7,7,1,0,0,4039046,4212612,3765951,3788798
207,35,27,7,1,0,0,0,3788798,4039046,4112606,4257147
208,36,27,7,2,0,0,0,4257147,3788798,4276542,4350284
209,37,28,7,3,0,0,0,4350284,4257147,4102868,4326839
210,35,27,7,4,0,0,0,4326839,4350284,4145418,4295408
211,35,27,7,5,0,0,0,4295408,4326839,4212612,4225719
212,35,27,8,6,1,0,0,4225719,4295408,4039046,3679973
213,37,28,8,7,1,0,0,3679973,4225719,3788798,3513088
214,37,28,8,1,0,0,0,3513088,3679973,4257147,4109362
215,37,28,8,2,0,0,0,4109362,3513088,4350284,4249464
216,37,28,8,3,0,0,0,4249464,4109362,4326839,4287459
217,35,26,8,4,0,0,0,4287459,4249464,4295408,4402083
218,34,26,8,5,0,0,0,4402083,4287459,4225719,4369295
219,33,26,8,6,1,0,0,4369295,4402083,3679973,4161898
220,30,25,8,7,1,0,0,4161898,4369295,3513088,3787603
221,28,24,8,1,0,0,0,3787603,4161898,4109362,4041268
222,28,23,8,2,0,0,0,4041268,3787603,4249464,3903333
223,31,23,8,3,0,0,0,3903333,4041268,4287459,4085366
224,30,23,8,4,0,0,0,4085366,3903333,4402083,4168955
225,32,23,8,5,0,0,0,4168955,4085366,4369295,4214550
226,30,24,8,6,1,0,0,4214550,4168955,4161898,4047430
227,30,23,8,7,1,0,0,4047430,4214550,3787603,3817657
228,31,24,8,1,0,0,0,3817657,4047430,4041268,4155488
229,30,23,8,2,0,0,0,4155488,3817657,3903333,4015123
230,30,24,8,3,0,0,0,4015123,4155488,4085366,3948699
231,26,23,8,4,0,0,0,3948699,4015123,4168955,3869580
232,29,23,8,5,0,0,0,3869580,3948699,4214550,3343687
233,28,21,8,6,1,0,0,3343687,3869580,4047430,3858150
234,28,21,8,7,1,0,0,3858150,3343687,3817657,3624080
235,24,20,8,1,0,0,0,3624080,3858150,4155488,3761623
236,29,21,8,2,0,0,0,3761623,3624080,4015123,3909831
237,30,22,8,3,0,0,0,3909831,3761623,3948699,4011378
238,30,22,8,4,0,0,0,4011378,3909831,3869580,4029224
239,30,22,8,5,0,0,0,4029224,4011378,3343687,3487881
240,31,22,8,6,1,0,0,3487881,4029224,3858150,3867982
241,31,22,8,7,1,0,0,3867982,3487881,3624080,3811394
242,30,22,8,1,0,0,0,3811394,3867982,3761623,4109812
243,29,22,9,2,0,0,0,4109812,3811394,3909831,4066668
244,30,22,9,3,0,0,0,4066668,4109812,4011378,3925296
245,29,22,9,4,0,1,0,3925296,4066668,4029224,3177643
246,30,23,9,5,0,0,0,3177643,3925296,3487881,3566662
247,28,22,9,6,1,0,0,3566662,3177643,3867982,3757287
248,28,21,9,7,1,0,0,3757287,3566662,3811394,3841049
249,28,21,9,1,0,0,0,3841049,3757287,4109812,4018482
250,28,20,9,2,0,0,0,4018482,3841049,4066668,3691852
251,28,19,9,3,0,0,0,3691852,4018482,3925296,3918906
252,28,20,9,4,0,0,0,3918906,3691852,3177643,3929441
253,27,20,9,5,0,0,0,3929441,3918906,3566662,3927760
254,24,16,9,6,1,0,0,3927760,3929441,3757287,3633339
255,25,17,9,7,1,0,0,3633339,3927760,3841049,3447496
256,26,20,9,1,0,0,0,3447496,3633339,4018482,3713833
257,26,18,9,2,0,0,0,3713833,3447496,3691852,3832844
258,27,18,9,3,0,0,0,3832844,3713833,3918906,3749554
259,26,18,9,4,0,0,0,3749554,3832844,3929441,3946919
260,27,19,9,5,0,0,0,3946919,3749554,3927760,3975839
261,28,20,9,6,1,0,0,3975839,3946919,3633339,3820881
262,26,19,9,7,1,0,0,3820881,3975839,3447496,3608137
263,27,20,9,1,0,0,0,3608137,3820881,3713833,3957586
264,26,21,9,2,0,0,0,3957586,3608137,3832844,4039707
265,26,19,9,3,0,0,0,4039707,3957586,3749554,4017043
266,26,20,9,4,0,0,0,4017043,4039707,3946919,4037352
267,27,19,9,5,0,0,0,4037352,4017043,3975839,4040154
268,28,18,9,6,1,1,0,4040154,4037352,3820881,3497499
269,27,18,9,7,1,1,0,3497499,4040154,3608137,3356801
270,27,20,9,1,0,1,0,3356801,3497499,3957586,3873351
271,25,21,9,2,0,0,0,3873351,3356801,4039707,4000522
272,26,19,9,3,0,0,0,4000522,3873351,4017043,4542869
273,23,14,10,4,0,1,0,4542869,4000522,4037352,2841489
274,24,15,10,5,0,1,0,2841489,4542869,4040154,2776441
275,25,17,10,6,1,1,0,2776441,2841489,3497499,2754225
276,25,19,10,7,1,1,0,2754225,2776441,3356801,3016281
277,23,18,10,1,0,1,0,3016281,2754225,3873351,3443517
278,24,19,10,2,0,1,0,3443517,3016281,4000522,3629157
279,22,18,10,3,0,1,0,3629157,3443517,4542869,3669034
280,19,15,10,4,0,0,0,3669034,3629157,2841489,4002839
281,22,12,10,5,0,0,0,4002839,3669034,2776441,3773217
282,23,10,10,6,1,0,0,3773217,4002839,2754225,3718483
283,20,10,10,7,1,0,0,3718483,3773217,3016281,3236485
284,22,11,10,1,0,0,0,3236485,3718483,3443517,3676439
285,24,13,10,2,0,0,0,3676439,3236485,3629157,3708587
286,24,13,10,3,0,0,0,3708587,3676439,3669034,3748435
287,25,14,10,4,0,0,0,3748435,3708587,4002839,3538810
288,26,15,10,5,0,0,0,3538810,3748435,3773217,3807975
289,26,14,10,6,1,0,0,3807975,3538810,3718483,3802147
290,25,14,10,7,1,0,0,3802147,3807975,3236485,3521948
291,24,15,10,1,0,0,0,3521948,3802147,3676439,3719963
292,25,16,10,2,0,0,0,3719963,3521948,3708587,3608500
293,25,16,10,3,0,0,0,3608500,3719963,3748435,3926344
294,25,16,10,4,0,0,0,3926344,3608500,3538810,3926220
295,25,17,10,5,0,0,0,3926220,3926344,3807975,3914699
296,25,17,10,6,1,0,0,3914699,3926220,3802147,3945502
297,23,16,10,7,1,0,0,3945502,3914699,3521948,3512930
298,24,14,10,1,0,0,0,3512930,3945502,3719963,3750753
299,19,11,10,2,0,0,0,3750753,3512930,3608500,3929170
300,20,12,10,3,0,0,0,3929170,3750753,3926344,3838921
301,18,12,10,4,0,0,0,3838921,3929170,3926220,3915735
302,18,10,10,5,0,0,0,3915735,3838921,3914699,3840502
303,17,11,10,6,1,0,0,3840502,3915735,3945502,3232390
304,17,8,11,7,1,0,0,3232390,3840502,3512930,3443912
305,18,8,11,1,0,0,0,3443912,3232390,3750753,3599595
306,20,11,11,2,0,0,0,3599595,3443912,3929170,3797280
307,21,14,11,3,0,0,0,3797280,3599595,3838921,3903614
308,23,16,11,4,0,0,0,3903614,3797280,3915735,3920772
309,26,19,11,5,0,0,0,3920772,3903614,3840502,3910196
310,17,12,11,6,1,0,0,3910196,3920772,3232390,3819933
311,13,9,11,7,1,0,0,3819933,3910196,3443912,3500779
